2020/12/16 12:53:01, Temperature, 21

2020/12/16 12:53:02, Temperature, 18
2020/12/16 12:53:02, Controller, +

2020/12/16 12:53:03, Temperature, 23
2020/12/16 12:53:03, Controller, -

2020/12/16 12:53:04, Temperature, 22
2020/12/16 12:53:04, Controller, -
2020/12/16 12:53:04, Controller, -
2020/12/16 12:53:04, Controller, -

2020/12/16 12:53:06, Temperature, 15
2020/12/16 12:53:06, Controller, +
2020/12/16 12:53:06, Controller, +

2020/12/16 12:53:07, Temperature, 18
2020/12/16 12:53:07, Controller, +

2020/12/16 12:53:08, Temperature, 15
2020/12/16 12:53:08, Controller, +

2020/12/16 12:53:09, Temperature, 18
2020/12/16 12:53:09, Controller, +

2020/12/16 12:53:10, Temperature, 21

2020/12/16 12:53:11, Temperature, 19
2020/12/16 12:53:11, Controller, +
2020/12/16 12:53:11, Controller, +

2020/12/16 12:53:13, Temperature, 23
2020/12/16 12:53:13, Controller, -
